Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
w7,form_1,,checkbox,Παράθυρο 7,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w8,form_1,,checkbox,Παράθυρο 8,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w9,form_1,,checkbox,Παράθυρο 9,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w10,form_1,,checkbox,Παράθυρο 10,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w11,form_1,,checkbox,Παράθυρο 11,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w12,form_1,,checkbox,Παράθυρο 12,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w13,form_1,,checkbox,Παράθυρο 13,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w14,form_1,,checkbox,Παράθυρο 14,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w15,form_1,,checkbox,Παράθυρο 15,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w16,form_1,,checkbox,Παράθυρο 16,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 16,,,,windows_time,,
num_doors,form_1,,radio,Πόσες πόρτες διαθέτει η αίθουσα;,"1, 1 | 2, 2",,,,,,,y,LV,,,,
d1,form_1,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή/ές η/οι πόρτα/ες της αίθουσας σήμερα; (Δ=διάλειμμα)
",checkbox,Πόρτα 1,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:05 | 11, Kαθόλου ανοιχτή",,,,,,[num_doors] = 1 OR [num_doors] = 2,,,,doors_open_time,,
d2,form_1,,checkbox,Πόρτα 2,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:05 | 11, Kαθόλου ανοιχτή",,,,,,[num_doors] = 2,,,,doors_open_time,,
kids_num,form_2,,text,Πόσα παιδιά βρίσκονται στη συγκεκριμένη τάξη σήμερα;,,,integer,0,25,,,y,LV,,,,
air_condition_on_2,form_2,,radio,Έχει λειτουργήσει το κλιματιστικό κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[air_condition]=2 or [air_condition]=4,y,LV,,,,
time_ac_on_2,form_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία το κλιματιστικό</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[air_condition_on_2]=1,y,LV,,,,
anemistiras_on_2,form_2,,radio,Έχει λειτουργήσει ο ανεμιστήρας κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=1,y,LV,,,,
time_anemistiras_on_2,form_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[anemistiras_on_2]=1,y,LV,,,,
anemistiras_on1_2,form_2,,radio,Έχει λειτουργήσει ο ανεμιστήρας 1 κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=2 OR [anemistiras_num]=3,y,LV,,,,
time_anemistiras_on1_2,form_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας 1</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[anemistiras_on1_2]=1,y,LV,,,,
anemistiras_on2_2,form_2,,radio,Έχει λειτουργήσει ο ανεμιστήρας 2 κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=2 OR [anemistiras_num]=3,y,LV,,,,
time_anemistiras_on2_2,form_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας 2</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[anemistiras_on2_2]=1,y,LV,,,,
anemistiras_on3_2,form_2,,radio,Έχει λειτουργήσει ο ανεμιστήρας 3 κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=3,y,LV,,,,
time_anemistiras_on3_2,form_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας 3</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[anemistiras_on3_2]=1,y,LV,,,,
w1_d2,form_2,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτά τα παράθυρα της αίθουσας σήμερα; (Δ=διάλειμμα)
",checkbox,Παράθυρο 1,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 1 OR [num_wind] = 2 OR [num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w2_d2,form_2,,checkbox,Παράθυρο 2,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 2 OR [num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
